,tag,used
0,#love,1.221B
1,#instalove,83.01M
2,#loveit,65.10M
3,#lovely,47.92M
4,#mylove,47.77M
5,#loveher,46.20M
6,#lovehim,37.26M
7,#loveyou,36.87M
8,#iloveyou,31.21M
9,#naturelovers,30.58M
10,#inlove,28.71M
11,#lovethem,28.56M
12,#puppylove,25.81M
13,#doglover,23.44M
14,#ilovemydog,22.42M
15,#loveyourself,18.85M
16,#catlover,18.82M
17,#lovelife,17.34M
18,#foodlover,16.78M
19,#truelove,15.62M
20,#lovemyjob,14.80M
21,#loveofmylife,11.53M
22,#selflove,11.40M
23,#naturelover,11.23M
24,#makeuplover,10.75M
25,#skylovers,10.22M
26,#onelove,10.17M
27,#ilovemycat,9.824M
28,#lovedogs,9.625M
29,#ilovemyjob,9.211M
30,#doglovers,8.558M
31,#lovemylife,8.488M
32,#babylove,8.257M
33,#loveislove,8.184M
34,#catlovers,8.151M
35,#iloveit,8.047M
36,#archilovers,7.907M
37,#loveu,7.709M
38,#lovecats,7.285M
39,#architecturelovers,7.259M
40,#coffeelover,7.151M
41,#lovers,7.078M
42,#lover,6.766M
43,#lovequotes,6.430M
44,#fashionlover,6.251M
45,#lovethis,5.944M
46,#yogalove,5.942M
47,#myloves,5.900M
48,#landscape_lovers,5.814M
49,#booklover,5.736M
50,#doglove,5.640M
51,#weloveshopping,5.531M
52,#madewithlove,5.504M
53,#animallovers,5.463M
54,#loves,5.462M
55,#ilove,5.225M
56,#lovefood,5.131M
57,#ilovehim,5.128M
58,#foodlovers,5.029M
59,#gaylove,5.029M
60,#loved,4.886M
61,#lovelovelove,4.880M
62,#iloveher,4.732M
63,#lovestory,4.716M
64,#photographylovers,4.688M
65,#lovepuppies,4.664M
66,#lovemydog,4.639M
67,#animallover,4.625M
68,#catlove,4.621M
69,#sisterlove,4.411M
